Time,RPM,PWM
32216.00,0.00,0
32226.00,0.00,0
8511.00,0.00,0
8521.00,0.00,0
8531.00,0.00,0
8541.00,0.00,0
8551.00,0.00,0
8561.00,0.00,0
8571.00,0.00,0
8581.00,0.00,0
8591.00,0.00,0
8601.00,0.00,0
8611.00,0.00,0
8621.00,0.00,0
8631.00,0.00,0
8601.00,0.00,0
8611.00,0.00,0
8621.00,0.00,0
8631.00,0.00,0
8641.00,0.00,0
8651.00,0.00,0
8662.00,0.00,0
8672.00,0.00,0
8685.00,0.00,0
8695.00,0.00,0
8705.00,0.00,0
8715.00,0.00,0
8725.00,0.00,0
8735.00,0.00,0
8745.00,0.00,0
8755.00,0.00,0
8765.00,0.00,0
8775.00,0.00,0
8785.00,0.00,0
8795.00,0.00,0
8805.00,0.00,0
8815.00,0.00,0
8825.00,0.00,0
8835.00,0.00,0
8845.00,0.00,0
8855.00,0.00,0
8865.00,0.00,0
8875.00,0.00,0
8885.00,0.00,0
8895.00,0.00,0
8905.00,0.00,0
8915.00,0.00,0
8925.00,0.00,0
8935.00,0.00,0
8945.00,0.00,0
8955.00,0.00,0
8965.00,0.00,0
8975.00,0.00,0
8985.00,0.00,0
8995.00,0.00,0
9005.00,0.00,0
9015.00,0.00,0
9025.00,0.00,0
9035.00,0.00,0
9046.00,0.00,0
9056.00,0.00,0
9066.00,0.00,0
9076.00,0.00,0
9086.00,0.00,0
9096.00,0.00,0
9106.00,0.00,0
9116.00,0.00,0
9126.00,0.00,0
9136.00,0.00,0
9146.00,0.00,0
9156.00,0.00,0
9166.00,0.00,0
9176.00,0.00,0
9186.00,0.00,150
9196.00,0.00,150
9206.00,0.00,150
9217.00,0.00,150
9227.00,0.00,150
9237.00,0.00,150
9247.00,0.00,150
9257.00,5.91,150
9267.00,7.37,150
9277.00,9.16,150
9287.00,10.01,150
9297.00,11.89,150
9307.00,14.41,150
9317.00,17.05,150
9327.00,18.79,150
9337.00,20.80,150
9347.00,23.23,150
9357.00,25.40,150
9367.00,27.75,150
9377.00,29.46,150
9387.00,32.24,150
9397.00,35.09,150
9407.00,36.80,150
9417.00,38.40,150
9427.00,40.88,150
9437.00,43.29,150
9447.00,45.25,150
9457.00,46.24,150
9467.00,49.22,150
9477.00,51.64,150
9487.00,53.81,150
9497.00,55.37,150
9507.00,56.44,150
9517.00,58.69,150
9527.00,60.72,150
9537.00,62.96,150
9547.00,63.99,150
9558.00,65.22,150
9568.00,68.19,150
9578.00,71.21,150
9588.00,73.26,150
9598.00,75.91,150
9608.00,77.27,150
9618.00,81.97,150
9628.00,82.79,150
9638.00,84.44,150
9648.00,86.57,150
9658.00,89.09,150
9668.00,90.74,150
9678.00,93.66,150
9688.00,95.25,150
9698.00,99.11,150
9708.00,100.06,150
9718.00,101.63,150
9728.00,102.51,150
9738.00,104.60,150
9748.00,105.32,150
9758.00,106.49,150
9768.00,107.44,150
9778.00,108.61,150
9788.00,111.34,150
9798.00,111.58,150
9808.00,113.75,150
9818.00,116.30,150
9828.00,119.76,150
9838.00,123.17,150
9848.00,123.17,150
9858.00,125.52,150
9868.00,126.85,150
9878.00,128.72,150
9888.00,130.05,150
9899.00,130.53,150
9909.00,132.89,150
9919.00,134.42,150
9929.00,136.45,150
9939.00,137.12,150
9949.00,138.25,150
9959.00,141.54,150
9969.00,143.81,150
9979.00,143.88,150
9989.00,148.70,150
9999.00,151.21,150
10009.00,154.84,150
10019.00,154.62,150
10029.00,157.00,150
10039.00,159.32,150
10049.00,161.22,150
10059.00,159.81,150
10070.00,160.82,150
10080.00,162.43,150
10090.00,164.14,150
10100.00,167.30,150
10110.00,171.07,150
10120.00,171.16,150
10130.00,171.03,150
10140.00,172.51,150
10150.00,173.71,150
10160.00,174.10,150
10170.00,175.79,150
10180.00,178.15,150
10190.00,180.27,150
10200.00,182.79,150
10210.00,188.07,150
10220.00,187.93,150
10230.00,187.23,150
10240.00,187.45,150
10250.00,189.00,150
10260.00,189.48,150
10270.00,192.23,150
10280.00,193.68,150
10290.00,195.06,150
10300.00,198.35,150
10310.00,199.83,150
10320.00,199.86,150
