Time,RPM,PWM
8672.00,0.00,0
8682.00,0.00,0
8695.00,0.00,0
8706.00,0.00,0
8716.00,0.00,0
8726.00,0.00,0
8736.00,0.00,0
8747.00,0.00,0
8757.00,0.00,0
8767.00,0.00,0
8777.00,0.00,0
8787.00,0.00,0
8797.00,0.00,0
8807.00,0.00,0
8817.00,0.00,0
8827.00,0.00,0
8837.00,0.00,0
8847.00,0.00,0
8857.00,0.00,0
8867.00,0.00,0
8877.00,0.00,0
8887.00,0.00,0
8897.00,0.00,0
8907.00,0.00,0
8918.00,0.00,0
8928.00,0.00,0
8938.00,0.00,0
8948.00,0.00,0
8958.00,0.00,0
8968.00,0.00,0
8978.00,0.00,0
8988.00,0.00,0
8998.00,0.00,0
9008.00,0.00,0
9018.00,0.00,0
9028.00,0.00,0
9038.00,0.00,0
9048.00,0.00,0
9058.00,0.00,0
9068.00,0.00,0
9078.00,0.00,0
9088.00,0.00,0
9098.00,0.00,0
9108.00,0.00,0
9118.00,0.00,0
9128.00,0.00,0
9138.00,0.00,0
9148.00,0.00,0
9158.00,0.00,0
9168.00,0.00,0
9178.00,0.00,200
9188.00,0.00,200
9198.00,36.08,200
9208.00,52.25,200
9218.00,63.36,200
9228.00,73.99,200
9238.00,84.24,200
9248.00,89.47,200
9259.00,94.23,200
9269.00,99.83,200
9279.00,105.50,200
9289.00,110.39,200
9299.00,113.44,200
9309.00,124.08,200
9319.00,129.42,200
9329.00,132.73,200
9339.00,136.35,200
9349.00,139.04,200
9359.00,150.69,200
9369.00,160.30,200
9379.00,160.87,200
9389.00,164.83,200
9399.00,165.31,200
9409.00,168.88,200
9419.00,171.36,200
9430.00,172.18,200
9440.00,174.42,200
9450.00,176.43,200
9460.00,179.05,200
9470.00,181.77,200
9480.00,183.20,200
9490.00,185.54,200
9500.00,188.42,200
9510.00,191.56,200
9520.00,192.74,200
9530.00,195.86,200
9540.00,201.45,200
9550.00,203.36,200
9560.00,206.28,200
9570.00,211.49,200
9580.00,214.09,200
9590.00,215.20,200
9600.00,217.28,200
9610.00,219.96,200
9620.00,223.32,200
9630.00,225.26,200
9640.00,227.42,200
9650.00,230.97,200
9660.00,233.05,200
9670.00,237.13,200
9680.00,238.65,200
9690.00,239.69,200
9700.00,242.50,200
9710.00,244.20,200
9720.00,252.09,200
9730.00,254.21,200
9740.00,256.51,200
9750.00,257.96,200
9760.00,261.31,200
9771.00,262.24,200
9781.00,263.39,200
9791.00,266.89,200
9801.00,268.75,200
9811.00,272.83,200
9821.00,272.39,200
9831.00,280.69,200
9841.00,282.15,200
9851.00,285.11,200
9861.00,283.95,200
9871.00,287.31,200
9881.00,287.70,200
9891.00,288.41,200
9901.00,293.52,200
9911.00,293.93,200
9921.00,295.83,200
9931.00,299.93,200
9942.00,302.09,200
9952.00,301.30,200
9962.00,300.85,200
9976.00,307.54,200
9987.00,311.49,200
9997.00,311.70,200
10007.00,313.44,200
10017.00,312.49,200
10027.00,312.90,200
10037.00,313.23,200
10047.00,317.04,200
10057.00,316.02,200
10067.00,317.33,200
10077.00,318.99,200
10087.00,321.52,200
10097.00,322.01,200
10107.00,323.00,200
10117.00,325.18,200
10127.00,328.93,200
10137.00,331.18,200
10147.00,332.63,200
10157.00,335.38,200
10167.00,336.23,200
10177.00,341.10,200
10187.00,347.18,200
10198.00,348.21,200
10208.00,347.24,200
10218.00,355.79,200
10228.00,355.98,200
10238.00,355.93,200
10248.00,356.09,200
10258.00,359.95,200
10268.00,360.34,200
10278.00,363.00,200
10288.00,366.14,200
10298.00,367.53,200
10308.00,369.25,200
10318.00,367.53,200
10328.00,370.40,200
10338.00,370.21,200
10348.00,374.75,200
10358.00,375.51,200
10368.00,375.16,200
10378.00,377.41,200
10388.00,381.01,200
10398.00,380.03,200
10408.00,382.15,200
10418.00,386.44,200
10428.00,387.19,200
10438.00,389.56,200
10448.00,389.53,200
10458.00,391.46,200
10468.00,391.67,200
10478.00,394.96,200
10488.00,394.52,200
10498.00,395.33,200
10508.00,398.14,200
10518.00,396.92,200
10528.00,400.97,200
10539.00,404.10,200
10549.00,401.98,200
10559.00,403.34,200
10569.00,406.99,200
10579.00,409.20,200
10589.00,411.19,200
10599.00,410.47,200
10609.00,411.25,200
10619.00,414.04,200
10629.00,413.77,200
10639.00,414.72,200
10649.00,416.28,200
10659.00,418.53,200
10669.00,419.97,200
10679.00,424.93,200
10689.00,425.97,200
10699.00,425.82,200
10710.00,425.31,200
10720.00,422.14,200
10730.00,424.27,200
10740.00,425.81,200
10750.00,426.67,200
10760.00,428.36,200
10770.00,432.91,200
10780.00,433.63,200
10790.00,435.59,200
10800.00,438.96,200
10810.00,438.55,200
10820.00,443.54,200
10830.00,441.33,200
10840.00,441.46,200
10850.00,440.60,200
10860.00,443.19,200
10870.00,443.17,200
10880.00,443.74,200
10890.00,447.92,200
10900.00,448.98,200
10910.00,445.36,200
10920.00,448.40,200
10930.00,451.68,200
10940.00,453.39,200
10950.00,453.63,200
10960.00,452.26,200
10970.00,452.90,200
10980.00,451.67,200
10990.00,453.20,200
11000.00,456.40,200
11010.00,455.11,200
11020.00,456.59,200
11030.00,464.67,200
11040.00,462.60,200
11051.00,462.89,200
11061.00,467.83,200
11071.00,470.47,200
11081.00,469.30,200
11091.00,468.93,200
11101.00,469.60,200
11111.00,473.66,200
11121.00,473.07,200
11131.00,475.88,200
11141.00,475.66,200
11151.00,476.44,200
11161.00,475.34,200
11171.00,475.41,200
11181.00,478.77,200
11191.00,479.38,200
11201.00,478.89,200
11211.00,477.13,200
11222.00,479.79,200
11232.00,482.93,200
11242.00,480.64,200
11256.00,483.57,200
11267.00,485.04,200
11277.00,484.67,200
11287.00,489.68,200
11297.00,490.80,200
11307.00,490.35,200
11317.00,491.93,200
11327.00,489.90,200
11337.00,492.33,200
11347.00,492.95,200
11357.00,492.88,200
11367.00,493.80,200
11377.00,495.52,200
11387.00,496.74,200
11397.00,499.29,200
11407.00,499.61,200
11417.00,499.27,200
11427.00,501.94,200
11437.00,504.91,200
11447.00,503.01,200
11457.00,504.77,200
11467.00,504.26,200
11478.00,506.00,200
11488.00,506.82,200
11498.00,506.71,200
11508.00,508.78,200
11518.00,508.50,200
11528.00,511.22,200
11538.00,509.90,200
11548.00,511.17,200
11558.00,510.65,200
11568.00,515.93,200
11578.00,522.19,200
11588.00,521.56,200
11598.00,519.87,200
11608.00,516.54,200
11618.00,516.38,200
11628.00,516.85,200
11638.00,518.99,200
11648.00,519.94,200
11658.00,520.14,200
11668.00,522.84,200
11678.00,524.06,200
11688.00,527.61,200
11698.00,526.57,200
11708.00,527.68,200
11718.00,524.11,200
11728.00,524.11,200
11738.00,525.28,200
11748.00,527.42,200
11758.00,528.96,200
11768.00,527.47,200
11778.00,528.61,200
11788.00,526.03,200
11798.00,529.93,200
11808.00,529.64,200
11819.00,529.59,200
11829.00,529.36,200
11839.00,530.73,200
11849.00,530.48,200
